# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Eubucco_glaucogularis
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 72.00 mm
# Secondary1: 60.00 mm
# Kipps Distance: 11.90 mm
# Hand-Wing Index: 16.50
# Tail Length: 51.60 mm
# Aspect Ratio: 1.200
# Pointedness Index: 0.1653
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1264
# Max Thickness Position: 0.3401
# Max Camber/Chord: 0.0585
# Max Camber Position: 0.3668
# Leading Edge Radius: 0.0355
# LE Droop: 0.0047
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.09e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01065218,0.06861310
UPPER,2,0.04260873,0.11763567
UPPER,3,0.08876819,0.14484507
UPPER,4,0.29588700,0.17733942
UPPER,5,0.34010000,0.18492527
UPPER,6,0.38431300,0.17228218
UPPER,7,0.38879500,0.13688153
UPPER,8,0.49680000,0.08512087
UPPER,9,0.88000000,0.03234233
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01065218,-0.04119873
LOWER,2,0.04260873,-0.01998486
LOWER,3,0.08876819,-0.04642251
LOWER,4,0.29588700,-0.04770758
LOWER,5,0.34010000,-0.06793652
LOWER,6,0.38431300,-0.04012172
LOWER,7,0.38879500,0.00286478
LOWER,8,0.49680000,0.01856619
LOWER,9,0.88000000,0.00956636
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
