# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Selenidera_reinwardtii
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 126.40 mm
# Secondary1: 106.70 mm
# Kipps Distance: 19.70 mm
# Hand-Wing Index: 15.50
# Tail Length: 104.60 mm
# Aspect Ratio: 1.185
# Pointedness Index: 0.1559
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1241
# Max Thickness Position: 0.3407
# Max Camber/Chord: 0.0586
# Max Camber Position: 0.3676
# Leading Edge Radius: 0.0358
# LE Droop: 0.0049
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.24e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01073084,0.06928505
UPPER,2,0.04292337,0.11677759
UPPER,3,0.08942369,0.14328193
UPPER,4,0.29640900,0.17527250
UPPER,5,0.34070000,0.18271813
UPPER,6,0.38499100,0.17030875
UPPER,7,0.38956500,0.13556250
UPPER,8,0.49760000,0.08457697
UPPER,9,0.88000000,0.03220476
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01073084,-0.04145337
LOWER,2,0.04292337,-0.01919147
LOWER,3,0.08942369,-0.04500716
LOWER,4,0.29640900,-0.04561438
LOWER,5,0.34070000,-0.06546938
LOWER,6,0.38499100,-0.03816875
LOWER,7,0.38956500,0.00402312
LOWER,8,0.49760000,0.01897399
LOWER,9,0.88000000,0.00969234
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
