# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Casuarius_unappendiculatus
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 264.50 mm
# Secondary1: 264.30 mm
# Kipps Distance: 0.20 mm
# Hand-Wing Index: 0.10
# Tail Length: 273.50 mm
# Aspect Ratio: 1.001
# Pointedness Index: 0.0008
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1322
# Max Thickness Position: 0.3499
# Max Camber/Chord: 0.0600
# Max Camber Position: 0.3799
# Leading Edge Radius: 0.0400
# LE Droop: 0.0080
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 5.95e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01199308,0.07993850
UPPER,2,0.04797233,0.12506269
UPPER,3,0.09994236,0.15036061
UPPER,4,0.30444780,0.18423847
UPPER,5,0.34994000,0.19216891
UPPER,6,0.39543220,0.17895151
UPPER,7,0.40142300,0.14194281
UPPER,8,0.50992000,0.08800443
UPPER,9,0.88000000,0.03337200
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01199308,-0.04557833
LOWER,2,0.04797233,-0.02129742
LOWER,3,0.09994236,-0.04906319
LOWER,4,0.30444780,-0.05103113
LOWER,5,0.34994000,-0.07217896
LOWER,6,0.39543220,-0.04310069
LOWER,7,0.40142300,0.00183845
LOWER,8,0.50992000,0.01869253
LOWER,9,0.88000000,0.00971179
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
