# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Nothocercus_julius
# Flight Category: maneuvering
#
# === Morphological Parameters ===
# Wing Length: 191.20 mm
# Secondary1: 159.30 mm
# Kipps Distance: 31.90 mm
# Hand-Wing Index: 16.70
# Tail Length: 51.60 mm
# Aspect Ratio: 1.200
# Pointedness Index: 0.1668
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1208
# Max Thickness Position: 0.3400
# Max Camber/Chord: 0.0585
# Max Camber Position: 0.3666
# Leading Edge Radius: 0.0355
# LE Droop: 0.0047
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.86e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01063809,0.06848855
UPPER,2,0.04255236,0.11474460
UPPER,3,0.08865076,0.14074761
UPPER,4,0.29578260,0.17199531
UPPER,5,0.33998000,0.17924175
UPPER,6,0.38417740,0.16716435
UPPER,7,0.38864100,0.13334764
UPPER,8,0.49664000,0.08351432
UPPER,9,0.88000000,0.03187967
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01063809,-0.04115436
LOWER,2,0.04255236,-0.01818395
LOWER,3,0.08865076,-0.04315373
LOWER,4,0.29578260,-0.04298236
LOWER,5,0.33998000,-0.06230620
LOWER,6,0.38417740,-0.03573592
LOWER,7,0.38864100,0.00532723
LOWER,8,0.49664000,0.01934166
LOWER,9,0.88000000,0.00978598
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
