# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Buteogallus_meridionalis
# Flight Category: soaring
#
# === Morphological Parameters ===
# Wing Length: 416.40 mm
# Secondary1: 287.40 mm
# Kipps Distance: 130.90 mm
# Hand-Wing Index: 31.10
# Tail Length: 217.40 mm
# Aspect Ratio: 1.449
# Pointedness Index: 0.3144
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1047
# Max Thickness Position: 0.3313
# Max Camber/Chord: 0.0560
# Max Camber Position: 0.3551
# Leading Edge Radius: 0.0315
# LE Droop: 0.0018
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 1.10e+05
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00944510,0.05845059
UPPER,2,0.03778039,0.10175491
UPPER,3,0.07870915,0.12693167
UPPER,4,0.28826580,0.15444869
UPPER,5,0.33134000,0.16073093
UPPER,6,0.37441420,0.15026054
UPPER,7,0.37755300,0.12094343
UPPER,8,0.48512000,0.07694004
UPPER,9,0.88000000,0.02966657
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00944510,-0.03724639
LOWER,2,0.03778039,-0.01389582
LOWER,3,0.07870915,-0.03495589
LOWER,4,0.28826580,-0.03192435
LOWER,5,0.33134000,-0.04867698
LOWER,6,0.37441420,-0.02564211
LOWER,7,0.37755300,0.00995723
LOWER,8,0.48512000,0.02007817
LOWER,9,0.88000000,0.00981859
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
