# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Coracias_naevius
# Flight Category: soaring
#
# === Morphological Parameters ===
# Wing Length: 181.80 mm
# Secondary1: 132.00 mm
# Kipps Distance: 50.00 mm
# Hand-Wing Index: 27.50
# Tail Length: 138.80 mm
# Aspect Ratio: 1.377
# Pointedness Index: 0.2750
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1124
# Max Thickness Position: 0.3335
# Max Camber/Chord: 0.0567
# Max Camber Position: 0.3580
# Leading Edge Radius: 0.0325
# LE Droop: 0.0025
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 3.61e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00975586,0.06103516
UPPER,2,0.03902344,0.10693608
UPPER,3,0.08129883,0.13314071
UPPER,4,0.29014500,0.16241268
UPPER,5,0.33350000,0.16915810
UPPER,6,0.37685500,0.15791573
UPPER,7,0.38032500,0.12643709
UPPER,8,0.48800000,0.07970286
UPPER,9,0.88000000,0.03055296
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00975586,-0.03827344
LOWER,2,0.03902344,-0.01611856
LOWER,3,0.08129883,-0.03910795
LOWER,4,0.29014500,-0.03770156
LOWER,5,0.33350000,-0.05568935
LOWER,6,0.37685500,-0.03095613
LOWER,7,0.38032500,0.00726793
LOWER,8,0.48800000,0.01943599
LOWER,9,0.88000000,0.00968664
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
