# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Lyrurus_mlokosiewiczi
# Flight Category: soaring
#
# === Morphological Parameters ===
# Wing Length: 197.80 mm
# Secondary1: 142.80 mm
# Kipps Distance: 56.10 mm
# Hand-Wing Index: 28.20
# Tail Length: 166.80 mm
# Aspect Ratio: 1.385
# Pointedness Index: 0.2836
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1114
# Max Thickness Position: 0.3331
# Max Camber/Chord: 0.0566
# Max Camber Position: 0.3574
# Leading Edge Radius: 0.0323
# LE Droop: 0.0024
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 4.04e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.00969062,0.06050371
UPPER,2,0.03876248,0.10616090
UPPER,3,0.08075516,0.13226632
UPPER,4,0.28977960,0.16129775
UPPER,5,0.33308000,0.16798047
UPPER,6,0.37638040,0.15684261
UPPER,7,0.37978600,0.12565661
UPPER,8,0.48744000,0.07929761
UPPER,9,0.88000000,0.03041901
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.00969062,-0.03805448
LOWER,2,0.03876248,-0.01583048
LOWER,3,0.08075516,-0.03856269
LOWER,4,0.28977960,-0.03695610
LOWER,5,0.33308000,-0.05477667
LOWER,6,0.37638040,-0.03027338
LOWER,7,0.37978600,0.00759533
LOWER,8,0.48744000,0.01950018
LOWER,9,0.88000000,0.00969533
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
