# Bird-inspired Airfoil Bézier Control Points
# Generated from AVONET morphological database
#
# Species: Pteroglossus_humboldti
# Flight Category: soaring
#
# === Morphological Parameters ===
# Wing Length: 125.90 mm
# Secondary1: 101.20 mm
# Kipps Distance: 25.10 mm
# Hand-Wing Index: 19.80
# Tail Length: 142.00 mm
# Aspect Ratio: 1.244
# Pointedness Index: 0.1994
#
# === Airfoil Geometric Properties ===
# Max Thickness/Chord: 0.1207
# Max Thickness Position: 0.3381
# Max Camber/Chord: 0.0580
# Max Camber Position: 0.3642
# Leading Edge Radius: 0.0346
# LE Droop: 0.0040
# Trailing Edge Thickness: 0.0020
# Estimated Reynolds Number: 2.23e+04
#
# Total Upper CP: 12
# Total Lower CP: 12
#
# UPPER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
UPPER,0,0.00000000,0.00000000
UPPER,1,0.01037736,0.06630416
UPPER,2,0.04150944,0.11370348
UPPER,3,0.08647801,0.14027433
UPPER,4,0.29416440,0.17146547
UPPER,5,0.33812000,0.17870604
UPPER,6,0.38207560,0.16663842
UPPER,7,0.38625400,0.13284911
UPPER,8,0.49416000,0.08311473
UPPER,9,0.88000000,0.03170545
UPPER,10,0.98500000,0.00200000
UPPER,11,1.00000000,0.00000000
#
# LOWER SURFACE CONTROL POINTS
Surface,Point_Index,X,Y
LOWER,0,0.00000000,0.00000000
LOWER,1,0.01037736,-0.04029744
LOWER,2,0.04150944,-0.01830590
LOWER,3,0.08647801,-0.04329841
LOWER,4,0.29416440,-0.04333806
LOWER,5,0.33812000,-0.06264624
LOWER,6,0.38207560,-0.03609749
LOWER,7,0.38625400,0.00493240
LOWER,8,0.49416000,0.01908388
LOWER,9,0.88000000,0.00968043
LOWER,10,0.98500000,-0.00100000
LOWER,11,1.00000000,0.00000000
